include,FALSE,FALSE,FALSE,filtering,filtering,layout,layout,metadata,FALSE,FALSE,metadata,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,?,?,?,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,?,FALSE,metadata,TRUE,TRUE,TRUE,TRUE,TRUE
variable,,,,,,,,,,,,,interval,interval,interval,,nominal,,nominal,nominal,assymetric,,assymetric,assymetric,assymetric,assymetric,,assymetric,assymetric,assymetric,assymetric,assymetric,,,,asymmetric,asymmetric,asymmetric,asymmetric,,asymmetric,asymmetric,asymmetric,,assymetric,,,assymetric,assymetric,assymetric,assymetric,assymetric,,assymetric,assymetric,,,,,,,,,interval,interval,interval,interval,interval
weight,,,,,,,,,,,,,1/3,1/3,1/3,,½,,½,1,1,,1,1,1,1,,1,1,1,1,1,,,,1,1,1,1,,1,1,1,,1,,,1,1,1,1,1,,1,1,,,,,,,,,1,1,1,1,1
id_burial,id_row,id_unified,id_full,undisturbed,lbk,layout_x,layout_y,sex,sex_dockalova,sex_podborsky,age_cat,age_interval,pit_len,pit_wid,pit_dep,pit_orient,pit_orient_cat,head_orient,head_orient_cat,body_side,pigment,polished_sum,pol_adze,pol_axe,grinding,pebble,lithics_sum,lit_local,lit_nonlocal,lit_kl,lit_skj,lit_other,lit_radiolarit,lit_sgs,pottery_sum,pot_bowl,pot_globular,pot_bottle,pot_special,pot_fragment,pot_head,pot_mid,pot_leg,pot_fill,bone_tool,bone_awl,pendant,pendant_L,pendant_U,pendant_I,buckle_O,bracelet_spond,spond_necklace,beads_spond,beads_marble,dividing_bead,bead_cylinder,bead_circle,bead_olive,deer_teeth,antler,shell,dat,d13c,d15n,sr,sr_ppm,body_height
27,14,7627,27/76,T,T,10,4.8,F,F,F,A1,20+,160,70,35,150,SE,145,SE,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ib,-20.5,9.2,NA,NA,NA
28,15,7628,28/76,T,T,9.5,8,n. a.,NA,C,I1,4–5,90,60,40,108,SE,125,SE,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.9,10,0.71093,67,NA
29,16,7629,29/76,T,T,9.4,5.7,F,F,F,J,18–20,165,70,70,114,SE,118,SE,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-20.5,9,0.70849,260,NA
30,17,7630,30/76,T,T,9.85,6.3,n. a.,NA,C,I2,10–12,170,80,40,125,E,128,SE,L,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ib,-19.5,9.5,0.71083,88,NA
31,18,7631,31/76,T,T,10,6.6,F,F,F,A,Adult,NA,NA,35,125,NA,135,SE,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-20.0,10.3,NA,NA,NA
32,19,7632,32/76,T,T,12,6.5,n. a.,NA,C,I2,12–14,120,60,35,164,S,165,S,L,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.9,8.5,0.71101,57,NA
33,20,7633,33/76,F,T,11.3,6.1,ind.,NA,NA,NA,NA,175,115,75,114,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
34,21,7634,34/76,F,T,11.5,6.9,ind.,NA,NA,NA,NA,175,75,65,100,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
35,22,7635,35/76,F,T,11.4,7.7,ind.,NA,F,A,Adult,NA,NA,30,NA,NA,135,SE,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.9,9.3,NA,NA,NA
36,23,7636,36/76,T,T,10.5,6.3,F,F,M,M1,45–50,165,85,55,118,NW,303,NW,L,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,Ib,-19.7,8.8,0.71183,67,157
