var,name,value,larger_pct,smaller_pct
sex,F - F,0.285934575733414,99.91999199919992,0.08000800080008001
sex,F - M,1.02554154427428,0.07000700070007,99.92999299929993
sex,F - n. a.,0.3724340534210205,99.8899889988999,0.11001100110011
sex,M - M,1.106877661606359,1.02010201020102,98.97989798979899
sex,M - n. a.,1.0038435187256127,1.17011701170117,98.82988298829883
sex,n. a. - n. a.,0.4357977811372961,79.82798279827983,20.32203220322032
sex,F - ind.,2.04860680103302,1.8498197209593978,98.1501802790406
sex,ind. - ind.,0,100,76.46966609186393
sex,ind. - M,1.5540728569030762,5.815958614202853,94.18404138579714
sex,ind. - n. a.,1.9312079191207885,2.570935883367299,97.44474055494592
age,ad. - ad.,0.822081953719761,12.07120712071207,87.92879287928793
age,ad. - juv.,0.6221241533589297,78.4078407840784,21.59215921592159
age,ad. - mat.,0.7919616139986936,11.65116511651165,88.34883488348835
age,juv. - juv.,0.32389820962974636,95.91959195919591,4.100410041004101
age,juv. - mat.,0.5502364504904974,88.42884288428843,11.571157115711571
age,mat. - mat.,0.7328036834150319,33.663366336633665,66.33663366336634
orig,ind. - ind.,0.634268854110922,51.7051705170517,48.304830483048306
orig,ind. - local,0.7823850093713773,16.181618161816182,83.81838183818383
orig,ind. - non-local,0.5327753499510207,90.00900090009,9.99099909990999
orig,local - local,0.7834979515503104,19.591959195919593,80.4080408040804
orig,local - non-local,0.6967127591447757,46.614661466146615,53.385338533853385
orig,non-local - non-local,0.4050742753194268,91.93919391939194,8.060806080608062
